ID,Lab 01: Simple Math (Warm-Up) (2342736),Lab 02: Functions (Application) (2342737),Lab 03: Flow Control (Warm-Up) (2342738),Lab 04: Operation Station (Warm-Up) (2342740),Lab 05: Complex Conditionals (Application) (2342742),Lab 06: Grocery List (Warm Up) (2342743),Lab 07: Coaster Loop (Application) (2342745),Lab 08: Colors And Texts (Warm Up) (2342746),Lab 09: Dictionaries (Warm Up) (2342748),Lab 10: Perfectionist Pancakes (Warm Up) (2342751),Lab 11: Participation / Activity Grade (2342753),Module 1 - RPA 1: Knowledge Check (2342754),Module 2 - RPA 2: Knowledge Check (2342755),Module 3 - RPA 3: Knowledge Check (2342756),Module 4: RPA 4 - Knowledge Check (2342757),Module 5: RPA 5 - Knowledge Check (2342758),Module 6: RPA 6 - Knowledge Check (2342759),Module 7: RPA 7 - Knowledge Check (2342760),Coding Exam 1 (2342729),Coding Exam 2 (2342730),Final Coding Exam (2342733),Exam 1 (2342731),Exam 2 (2342732),Final Exam (2342734),Formative - Labs Current Score,Formative - Labs Final Score,Formative: Knowledge Checks - RPAs Current Score,Formative: Knowledge Checks - RPAs Final Score,"Summative - Attendance, Reflections, U-Behavior Current Score","Summative - Attendance, Reflections, U-Behavior Final Score",Summative: Coding Exam Current Score,Summative: Coding Exam Final Score,Summative: Canvas Exam Current Score,Summative: Canvas Exam Final Score,Current Score,Final Score,Current Grade,Final Grade
CS152SP24_1,2,4,2,2,4,2,4,2,2,2,0,4,4,4,4,4,4,3.6,4,4,4,15.33,14.83,14.67,65.22,65.22,98.57,98.57,91.67,91.67,100,100,93.4,93.4,90.28,90.28,A,A
CS152SP24_2,2,4,2,2,4,2,4,2,2,0.5,2,4,4,4,4,4,4,4,4,4,4,13.67,14.67,12.3,92.39,92.39,100,100,62.5,62.5,100,100,84.65,84.65,90.89,90.89,A,A
CS152SP24_3,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,13,12,12.07,95.65,95.65,100,100,62.5,62.5,100,100,77.24,77.24,89.69,89.69,B,B
CS152SP24_4,2,4,2,2,4,2,4,2,2,0.5,0,4,4,4,4,4,4,4,4,4,4,15,13.25,12.22,88.04,88.04,100,100,91.67,91.67,100,100,84.32,84.32,92.85,92.85,A,A
CS152SP24_5,2,4,2,2,4,2,4,2,2,0.5,0,4,4,4,4,3.25,4,3.6,4,4,4,8.67,8.5,12.07,59.78,59.78,95.89,95.89,45.83,45.83,100,100,60.92,60.92,75.95,75.95,C,C
CS152SP24_6,2,4,2,2,4,2,4,2,2,0.5,2,4,4,4,4,4,4,4,4,3,4,15,15,14.22,96.74,96.74,100,100,95.83,95.83,91.67,91.67,92.13,92.13,94.88,94.88,A,A
CS152SP24_7,2,4,2,2,4,2,3,2,2,0.5,2,4,4,4,3,3.67,3.5,2.8,1,4,3,14.67,13.8,13.56,90.22,90.22,89.17,89.17,95.83,95.83,66.67,66.67,87.55,87.55,84.01,84.01,B,B
CS152SP24_8,2,4,2,2,4,2,4,2,2,0.5,3,4,4,4,4,4,4,4,4,4,4,16,16,13.93,94.57,94.57,100,100,100,100,100,100,95.68,95.68,97.83,97.83,A,A
CS152SP24_9,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,13.33,16,14.79,95.65,95.65,100,100,95.83,95.83,100,100,91.91,91.91,96.69,96.69,A,A
CS152SP24_10,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,3,15.67,14,14.81,100,100,100,100,87.5,87.5,91.67,91.67,92.67,92.67,94.83,94.83,A,A
CS152SP24_11,0,0,0,0,0,0,0,0,0,0,0,4,3.5,4,3.55,3.17,0,2,0,0,1,0,0,0,0,0,72.2,72.2,16.67,16.67,8.33,8.33,0,0,18.19,18.19,F,F
CS152SP24_12,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,15,12.38,11.33,95.65,95.65,100,100,100,100,100,100,80.66,80.66,94.3,94.3,A,A
CS152SP24_13,2,4,2,2,4,2,4,2,2,0.5,2,4,4,4,3,3.5,4,3,4,4,4,14.5,13.47,9.05,96.74,96.74,91.07,91.07,83.33,83.33,100,100,77.12,77.12,90.18,90.18,A,A
CS152SP24_14,2,4,2,2,4,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,16,16,16,100,100,100,100,95.83,95.83,100,100,100,100,99.58,99.58,A,A
CS152SP24_15,2,4,2,2,4,2,1,2,2,0.5,2,4,4,4,3,2.25,4,2.4,2,3,4,12.58,9.65,9.93,90.22,90.22,84.46,84.46,100,100,75,75,67,67,80.44,80.44,B,B
CS152SP24_16,2,4,2,2,4,2,4,2,2,0.5,2,4,4,4,3.8,3.67,4,4,4,4,2,15,14.6,11.85,96.74,96.74,98.1,98.1,87.5,87.5,83.33,83.33,86.36,86.36,90.14,90.14,A,A
CS152SP24_17,2,4,2,2,4,2,4,2,0,2,2,4,4,4,4,4,4,4,4,4,4,15,11.58,9.04,95.65,95.65,100,100,83.33,83.33,100,100,74.21,74.21,91.02,91.02,A,A
